Year,Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
2016,1,Sun,September 11,8:30PM ET,L,,0-1,,New England Patriots,21,23,21,344,252,92,,19,363,257,106,2,11.42,-5.61,-9.08
2016,2,Sun,September 18,1:05PM ET,W,,1-1,,Tampa Bay Buccaneers,40,7,20,416,311,105,,21,306,221,85,5,14.72,21.55,-0.4
2016,3,Sun,September 25,1:02PM ET,L,,1-2,@,Buffalo Bills,18,33,25,348,260,88,5,16,297,89,208,1,-20.9,2.34,5.33
2016,4,Sun,October 2,4:25PM ET,L,,1-3,,Los Angeles Rams,13,17,26,420,302,118,5,12,288,247,41,1,-3.21,4.82,-5.82
2016,5,Thu,October 6,8:27PM ET,W,,2-3,@,San Francisco 49ers,33,21,17,288,116,172,,25,286,135,151,3,-3.49,2.05,11.2
2016,6,Mon,October 17,8:30PM ET,W,,3-3,,New York Jets,28,3,28,396,225,171,,11,230,197,33,2,20.59,12.37,-5.45
2016,7,Sun,October 23,8:30PM ET,T,OT,3-3-1,,Seattle Seahawks,6,6,23,443,311,132,,11,257,205,52,,-1.88,15,-9.26
2016,8,Sun,October 30,12:47PM ET,L,,3-4-1,@,Carolina Panthers,20,30,22,340,316,24,2,19,349,208,141,1,-6.19,-1.07,-3.45
2016,9,,,,,,,,Bye Week,,,,,,,,,,,,,,,
2016,10,Sun,November 13,4:25PM ET,W,,4-4-1,,San Francisco 49ers,23,20,26,443,363,80,4,15,281,198,83,1,6.62,0.69,-4.31
2016,11,Sun,November 20,1:00PM ET,L,,4-5-1,@,Minnesota Vikings,24,30,24,290,155,135,2,16,217,145,72,1,-6.42,2.66,-4.9
2016,12,Sun,November 27,1:00PM ET,L,,4-6-1,@,Atlanta Falcons,19,38,23,332,274,58,1,28,360,244,116,1,1.72,-17.09,-5.32
2016,13,Sun,December 4,4:25PM ET,W,,5-6-1,,Washington Redskins,31,23,24,369,281,88,,19,333,246,87,2,17.3,-3.95,-5.81
2016,14,Sun,December 11,1:00PM ET,L,,5-7-1,@,Miami Dolphins,23,26,21,300,125,175,4,15,314,231,83,3,-9.49,5.71,2.93
2016,15,Sun,December 18,4:05PM ET,L,,5-8-1,,New Orleans Saints,41,48,26,425,309,116,2,33,488,358,130,1,20.85,-19.35,-9.15
2016,16,Sat,December 24,4:25PM ET,W,,6-8-1,@,Seattle Seahawks,34,31,21,370,276,94,1,24,391,313,78,1,6.42,-5.97,2.48
2016,17,Sun,January 1,4:25PM ET,W,,7-8-1,@,Los Angeles Rams,44,6,21,344,260,84,2,9,123,71,52,3,5.82,39.25,-4.75
2015,1,Sun,September 13,4:05PM ET,W,,1-0,,New Orleans Saints,31,19,25,427,307,120,1,18,408,354,54,1,12.48,0.79,-3.48
2015,2,Sun,September 20,1:00PM ET,W,,2-0,@,Chicago Bears,48,23,21,300,185,115,2,18,335,226,109,2,17.96,9.19,-3.11
2015,3,Sun,September 27,4:05PM ET,W,,3-0,,San Francisco 49ers,47,7,28,446,307,139,1,10,156,53,103,4,21.61,26.19,-10.29
2015,4,Sun,October 4,4:25PM ET,L,,3-1,,St. Louis Rams,22,24,26,447,334,113,3,13,328,164,164,,5.76,-7.53,-6.03
2015,5,Sun,October 11,4:05PM ET,W,,4-1,@,Detroit Lions,42,17,15,345,158,187,,29,435,379,56,6,13.26,9.65,-1.18
2015,6,Sun,October 18,1:04PM ET,L,,4-2,@,Pittsburgh Steelers,13,25,21,469,414,55,3,14,310,169,141,,-1.35,-3.14,-7.12
2015,7,Mon,October 26,8:30PM ET,W,,5-2,,Baltimore Ravens,26,18,21,414,264,150,,18,276,221,55,2,13.41,1,-5.34
2015,8,Sun,November 1,1:02PM ET,W,,6-2,@,Cleveland Browns,34,20,25,491,372,119,4,16,254,215,39,2,12.33,6.36,-2.81
2015,9,,,,,,,,Bye Week,,,,,,,,,,,,,,,
2015,10,Sun,November 15,8:35PM ET,W,,7-2,@,Seattle Seahawks,39,32,30,451,334,117,3,18,343,228,115,1,0.17,-1.63,3.81
2015,11,Sun,November 22,8:30PM ET,W,,8-2,,Cincinnati Bengals,34,31,21,383,301,82,2,24,377,278,99,1,12.46,-10.32,-1.71
2015,12,Sun,November 29,4:05PM ET,W,,9-2,@,San Francisco 49ers,19,13,26,337,267,70,,17,368,301,67,2,5.59,-1.68,1.73
2015,13,Sun,December 6,1:00PM ET,W,,10-2,@,St. Louis Rams,27,3,29,524,349,175,,9,212,146,66,1,18.6,15.12,-9.39
2015,14,Thu,December 10,8:25PM ET,W,,11-2,,Minnesota Vikings,23,20,22,393,296,97,,23,389,317,72,3,14.73,-7.63,-3.9
2015,15,Sun,December 20,8:31PM ET,W,,12-2,@,Philadelphia Eagles,40,17,28,493,263,230,,19,424,350,74,4,22.52,9.38,-5.46
2015,16,Sun,December 27,4:25PM ET,W,,13-2,,Green Bay Packers,38,8,19,381,260,121,2,16,178,77,101,4,4.66,26.12,-1.14
2015,17,Sun,January 3,4:25PM ET,L,,13-3,,Seattle Seahawks,6,36,16,232,205,27,3,22,354,209,145,,-8.68,-13.93,-11.9
2015,Division,Sat,January 16,8:15PM ET,W,OT,14-3,,Green Bay Packers,26,20,20,368,328,40,2,18,386,251,135,1,6.94,-6.14,3.17
2015,Conf. Champ.,Sun,January 24,6:42PM ET,L,,14-4,@,Carolina Panthers,15,49,21,287,227,60,7,21,476,324,152,1,-10.49,-15.85,-3.81
2014,1,Mon,September 8,9:20PM ET,W,,1-0,,San Diego Chargers,18,17,22,403,294,109,2,15,290,238,52,1,5.41,4.82,-6.2
2014,2,Sun,September 14,1:04PM ET,W,,2-0,@,New York Giants,25,14,21,266,142,124,,24,341,260,81,4,-1.03,-1.62,13.61
2014,3,Sun,September 21,4:05PM ET,W,,3-0,,San Francisco 49ers,23,14,24,338,254,84,1,20,318,236,82,,14.03,-10.85,4.65
2014,4,,,,,,,,Bye Week,,,,,,,,,,,,,,,
2014,5,Sun,October 5,4:05PM ET,L,,3-1,@,Denver Broncos,20,41,9,215,178,37,,24,568,476,92,2,-12.17,-12.16,4.04
2014,6,Sun,October 12,4:25PM ET,W,,4-1,,Washington Redskins,30,20,19,317,243,74,,21,407,335,72,4,2.04,3.67,0.7
2014,7,Sun,October 19,4:25PM ET,W,,5-1,@,Oakland Raiders,24,13,25,365,242,123,1,13,220,164,56,,9.25,1.24,0.1
2014,8,Sun,October 26,4:05PM ET,W,,6-1,,Philadelphia Eagles,24,20,17,400,329,71,1,27,521,411,110,3,5.78,-1.32,-0.98
2014,9,Sun,November 2,1:04PM ET,W,,7-1,@,Dallas Cowboys,28,17,22,339,237,102,1,18,266,174,92,2,5.07,6.97,-0.07
2014,10,Sun,November 9,4:25PM ET,W,,8-1,,St. Louis Rams,31,14,21,335,307,28,1,16,244,174,70,3,-2.9,21.15,-0.02
2014,11,Sun,November 16,4:25PM ET,W,,9-1,,Detroit Lions,14,6,18,352,306,46,2,11,262,164,98,1,0.49,8.52,-1.98
2014,12,Sun,November 23,4:06PM ET,L,,9-2,@,Seattle Seahawks,3,19,12,204,140,64,1,16,293,169,124,,-9.22,-1.42,-10.24
2014,13,Sun,November 30,4:05PM ET,L,,9-3,@,Atlanta Falcons,18,29,18,329,294,35,3,22,500,358,142,1,-6.22,-4.38,-2.49
2014,14,Sun,December 7,4:05PM ET,W,,10-3,,Kansas City Chiefs,17,14,18,366,225,141,,19,390,264,126,2,6.54,2.17,-2.87
2014,15,Thu,December 11,8:25PM ET,W,,11-3,@,St. Louis Rams,12,6,13,274,131,143,,13,280,211,69,2,-8.22,18.11,-1.16
2014,16,Sun,December 21,8:30PM ET,L,,11-4,,Seattle Seahawks,6,35,17,216,187,29,1,23,596,329,267,,-15.05,-28.01,13.23
2014,17,Sun,December 28,4:25PM ET,L,,11-5,@,San Francisco 49ers,17,20,26,397,299,98,3,18,395,189,206,,9.91,-9.81,-5.1
2014,Wild Card,Sat,January 3,4:20PM ET,L,,11-6,@,Carolina Panthers,16,27,8,78,51,27,3,25,386,198,188,3,-19.39,6.33,4.19
