Year,Week,Day,Date,,,OT,Rec,,Opp,PF,PA,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
2016,1,Sun,September 11,4:08PM ET,W,,1-0,,Miami Dolphins,12,10,21,352,240,112,2,11,214,150,64,,-5.68,9.75,0.42
2016,2,Sun,September 18,4:08PM ET,L,,1-1,@,Los Angeles Rams,3,9,17,306,239,67,1,17,283,219,64,,-4.15,-0.61,-1.8
2016,3,Sun,September 25,4:05PM ET,W,,2-1,,San Francisco 49ers,37,18,18,418,291,127,2,12,254,119,135,1,9.29,5.4,4.06
2016,4,Sun,October 2,1:03PM ET,W,,3-1,@,New York Jets,27,17,21,354,288,66,,20,305,247,58,3,9.58,-1.16,2.47
2016,5,,,,,,,,Bye Week,,,,,,,,,,,,,,,
2016,6,Sun,October 16,4:26PM ET,W,,4-1,,Atlanta Falcons,26,24,22,333,261,72,,22,362,310,52,2,8.88,-2.71,-2.31
2016,7,Sun,October 23,8:30PM ET,T,OT,4-1-1,@,Arizona Cardinals,6,6,11,257,205,52,,23,443,311,132,,-15,1.88,9.26
2016,8,Sun,October 30,1:03PM ET,L,,4-2-1,@,New Orleans Saints,20,25,15,359,285,74,1,28,375,252,123,1,2.63,-6.08,1.04
2016,9,Mon,November 7,8:30PM ET,W,,5-2-1,,Buffalo Bills,31,25,19,278,245,33,,30,425,263,162,1,13.91,-11.47,4.47
2016,10,Sun,November 13,8:30PM ET,W,,6-2-1,@,New England Patriots,31,24,23,420,324,96,,25,385,304,81,2,17.85,-11.93,1.92
2016,11,Sun,November 20,4:25PM ET,W,,7-2-1,,Philadelphia Eagles,26,15,18,439,287,152,,20,308,195,113,2,9.58,6.79,-2.71
2016,12,Sun,November 27,4:05PM ET,L,,7-3-1,@,Tampa Bay Buccaneers,5,14,16,245,118,127,3,19,338,220,118,2,-18.87,1.31,7.45
2016,13,Sun,December 4,8:30PM ET,W,,8-3-1,,Carolina Panthers,40,7,29,534,294,240,1,14,271,182,89,2,22.22,10.2,-0.15
2016,14,Sun,December 11,4:25PM ET,L,,8-4-1,@,Green Bay Packers,10,38,22,354,218,136,6,18,330,237,93,,-17.74,-11.85,2.69
2016,15,Thu,December 15,8:25PM ET,W,,9-4-1,,Los Angeles Rams,24,3,19,299,227,72,1,13,183,136,47,,10.43,16.3,-5.3
2016,16,Sat,December 24,4:25PM ET,L,,9-5-1,,Arizona Cardinals,31,34,24,391,313,78,1,21,370,276,94,1,5.97,-6.42,-2.48
2016,17,Sun,January 1,4:25PM ET,W,,10-5-1,@,San Francisco 49ers,25,23,18,376,289,87,,14,253,191,62,2,5.68,5.26,-6.18
2016,Wild Card,Sat,January 7,8:15PM ET,W,,11-5-1,,Detroit Lions,26,6,24,387,210,177,,13,231,182,49,,18.51,11.29,-9.37
2016,Division,Sat,January 14,4:35PM ET,L,,11-6-1,@,Atlanta Falcons,20,36,17,309,208,101,2,28,422,323,99,,-0.92,-20.27,2.56
2015,1,Sun,September 13,1:00PM ET,L,OT,0-1,@,St. Louis Rams,31,34,21,343,219,124,1,19,352,276,76,3,-0.42,-2.17,-1.27
2015,2,Sun,September 20,8:25PM ET,L,,0-2,@,Green Bay Packers,17,27,21,324,205,119,2,21,361,234,127,1,1.19,-9.99,-3.78
2015,3,Sun,September 27,4:26PM ET,W,,1-2,,Chicago Bears,26,0,17,371,212,159,,7,146,48,98,,5.55,15.2,5.65
2015,4,Mon,October 5,8:31PM ET,W,,2-2,,Detroit Lions,13,10,18,345,235,110,3,12,256,203,53,1,-5.5,11.11,-0.86
