Year,Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
2016,1,Mon,September 12,10:20PM ET,W,,1-0,,Los Angeles Rams,28,0,28,320,170,150,1,10,185,120,65,2,5.1,25.61,-3.9
2016,2,Sun,September 18,1:03PM ET,L,,1-1,@,Carolina Panthers,27,46,16,302,237,65,3,26,529,353,176,4,-13.97,-10.97,5.67
2016,3,Sun,September 25,4:05PM ET,L,,1-2,@,Seattle Seahawks,18,37,12,254,119,135,1,18,418,291,127,2,-5.4,-9.29,-4.06
2016,4,Sun,October 2,4:25PM ET,L,,1-3,,Dallas Cowboys,17,24,14,295,189,106,1,26,428,234,194,,2.03,-15.96,5.8
2016,5,Thu,October 6,8:27PM ET,L,,1-4,,Arizona Cardinals,21,33,25,286,135,151,3,17,288,116,172,,-2.05,3.49,-11.2
2016,6,Sun,October 16,1:02PM ET,L,,1-5,@,Buffalo Bills,16,45,16,300,167,133,1,29,492,179,313,2,-6.77,-19.86,-2.66
2016,7,Sun,October 23,4:05PM ET,L,,1-6,,Tampa Bay Buccaneers,17,34,20,273,113,160,3,27,513,264,249,1,-2.93,-14.93,1.95
2016,8,,,,,,,,Bye Week,,,,,,,,,,,,,,,
2016,9,Sun,November 6,4:05PM ET,L,,1-7,,New Orleans Saints,23,41,19,486,393,93,4,29,571,323,248,,-3.2,-29.46,11.54
2016,10,Sun,November 13,4:25PM ET,L,,1-8,@,Arizona Cardinals,20,23,15,281,198,83,1,26,443,363,80,4,-0.69,-6.62,4.31
2016,11,Sun,November 20,4:25PM ET,L,,1-9,,New England Patriots,17,30,20,299,177,122,,28,444,273,171,,1.68,-17.09,-1.82
2016,12,Sun,November 27,1:00PM ET,L,,1-10,@,Miami Dolphins,24,31,25,475,282,193,2,19,358,263,95,,12.23,-13.75,0.56
2016,13,Sun,December 4,1:00PM ET,L,,1-11,@,Chicago Bears,6,26,10,147,6,141,,19,326,184,142,1,-15.47,-6.76,3.4
2016,14,Sun,December 11,4:05PM ET,L,OT,1-12,,New York Jets,17,23,17,364,116,248,,24,404,216,188,1,1.32,-1.98,-5.34
2016,15,Sun,December 18,4:05PM ET,L,,1-13,@,Atlanta Falcons,13,41,15,272,165,107,1,29,550,302,248,1,0.33,-28.85,1.86
2016,16,Sat,December 24,4:25PM ET,W,,2-13,@,Los Angeles Rams,22,21,21,323,253,70,2,13,177,78,99,2,-4.52,10.68,-8.08
2016,17,Sun,January 1,4:25PM ET,L,,2-14,,Seattle Seahawks,23,25,14,253,191,62,2,18,376,289,87,,-5.26,-5.68,6.18
2015,1,Mon,September 14,10:20PM ET,W,,1-0,,Minnesota Vikings,20,3,25,395,165,230,1,17,248,177,71,1,12.1,13.36,-8.12
2015,2,Sun,September 20,1:02PM ET,L,,1-1,@,Pittsburgh Steelers,18,43,27,409,298,111,1,21,453,369,84,,6.43,-29.74,1.07
2015,3,Sun,September 27,4:05PM ET,L,,1-2,@,Arizona Cardinals,7,47,10,156,53,103,4,28,446,307,139,1,-26.19,-21.61,10.29
2015,4,Sun,October 4,4:25PM ET,L,,1-3,,Green Bay Packers,3,17,8,196,119,77,1,18,362,200,162,,-11.25,-5.93,4.95
2015,5,Sun,October 11,8:31PM ET,L,,1-4,@,New York Giants,27,30,22,380,256,124,,30,525,441,84,1,17.01,-22.97,1.19
2015,6,Sun,October 18,4:25PM ET,W,,2-4,,Baltimore Ravens,25,20,15,391,326,65,,25,420,343,77,2,9.65,-4.93,-0.22
2015,7,Thu,October 22,8:26PM ET,L,,2-5,,Seattle Seahawks,3,20,8,142,81,61,,21,388,212,176,2,-15.72,-6.26,3.58
2015,8,Sun,November 1,1:00PM ET,L,,2-6,@,St. Louis Rams,6,27,11,189,151,38,,16,388,191,197,1,-20.93,-0.68,1.25
2015,9,Sun,November 8,4:05PM ET,W,,3-6,,Atlanta Falcons,17,16,18,318,185,133,2,17,302,285,17,,4.03,0.89,-4.55
2015,10,,,,,,,,Bye Week,,,,,,,,,,,,,,,
2015,11,Sun,November 22,4:27PM ET,L,,3-7,@,Seattle Seahawks,13,29,14,306,247,59,,28,508,253,255,,0.81,-22.52,4.37
2015,12,Sun,November 29,4:05PM ET,L,,3-8,,Arizona Cardinals,13,19,17,368,301,67,2,26,337,267,70,,1.68,-5.59,-1.73
